         1066820 function calls (925954 primitive calls) in 1.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      115    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
       44    0.000    0.000    0.000    0.000 locale.py:384(normalize)
       72    0.000    0.000    0.000    0.000 magic_arguments.py:73(_format_action_invocation)
        1    0.000    0.000    0.001    0.001 typing.py:19(<module>)
      410    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       81    0.000    0.000    0.000    0.000 token.py:35(__getattr__)
      100    0.000    0.000    0.000    0.000 formatters.py:361(_hue_to_rgb)
      564    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
      465    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       32    0.000    0.000    0.000    0.000 traitlets.py:2175(__init__)
       92    0.000    0.000    0.000    0.000 argparse.py:572(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 token.py:10(<module>)
       53    0.000    0.000    0.001    0.000 arguments.py:111(_parse_argument_clinic)
      115    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      297    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      254    0.000    0.000    0.001    0.000 typing.py:629(<genexpr>)
      190    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       37    0.000    0.000    0.000    0.000 argparse.py:258(add_argument)
       28    0.000    0.000    0.000    0.000 argparse.py:1465(_get_optional_kwargs)
      121    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
      283    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      230    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       19    0.000    0.000    0.000    0.000 traitlets.py:1862(__init__)
        1    0.000    0.000    0.001    0.001 app.py:3(<module>)
        1    0.000    0.000    0.000    0.000 formatters.py:388(<listcomp>)
       41    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      187    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       35    0.000    0.000    0.000    0.000 textwrap.py:179(<listcomp>)
      117    0.000    0.000    0.000    0.000 decorator.py:170(<listcomp>)
       34    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
    33/11    0.000    0.000    0.005    0.000 argparse.py:210(format_help)
        1    0.000    0.000    0.000    0.000 vt100.py:198(__init__)
       34    0.000    0.000    0.000    0.000 enum.py:64(__init__)
       11    0.000    0.000    0.001    0.000 argparse.py:295(_format_usage)
       11    0.000    0.000    0.003    0.000 argparse.py:1625(__init__)
        2    0.000    0.000    0.001    0.001 _compatibility.py:4(<module>)
        4    0.000    0.000    0.000    0.000 _compatibility.py:315(use_metaclass)
      508    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       88    0.000    0.000    0.000    0.000 functools.py:67(wraps)
        1    0.000    0.000    0.000    0.000 python.py:692(CythonLexer)
        1    0.000    0.000    0.058    0.058 completer.py:103(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       98    0.000    0.000    0.000    0.000 argparse.py:290(_join_parts)
      219    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       94    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
      239    0.000    0.000    0.000    0.000 decorator.py:215(<genexpr>)
        1    0.000    0.000    0.000    0.000 displayhook.py:5(<module>)
        1    0.000    0.000    0.000    0.000 latex_symbols.py:14(<module>)
      539    0.000    0.000    0.000    0.000 inspect.py:2517(name)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      120    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      134    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      508    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
       88    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
       22    0.000    0.000    0.002    0.000 gettext.py:514(translation)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
       22    0.000    0.000    0.000    0.000 locale.py:350(_replace_encoding)
      545    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      154    0.000    0.000    0.001    0.000 re.py:170(match)
    33/11    0.000    0.000    0.005    0.000 argparse.py:215(<listcomp>)
        1    0.000    0.000    0.000    0.000 interactiveshell.py:101(TerminalInteractiveShell)
        1    0.000    0.000    0.000    0.000 pickle.py:1024(_Unpickler)
       35    0.000    0.000    0.002    0.000 argparse.py:632(_split_lines)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-55>:1(<module>)
        5    0.000    0.000    0.045    0.009 __init__.py:2(<module>)
       22    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
       35    0.000    0.000    0.002    0.000 textwrap.py:368(wrap)
      281    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       64    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
       34    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
       37    0.000    0.000    0.000    0.000 argparse.py:1385(_add_action)
       37    0.000    0.000    0.002    0.000 magic_arguments.py:228(add_to_parser)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       25    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       32    0.000    0.000    0.000    0.000 traitlets.py:2275(__init__)
        1    0.000    0.000    0.001    0.001 subprocess.py:681(__init__)
      218    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.001    0.001 errors.py:2(<module>)
      400    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
